trial_number,label,channel3_mean,channel3_std,channel3_var,channel3_min,channel3_max,channel3_range,channel3_skewness,channel3_kurtosis,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel3_gamma_power,channel4_mean,channel4_std,channel4_var,channel4_min,channel4_max,channel4_range,channel4_skewness,channel4_kurtosis,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power,channel4_gamma_power
0,0,5919.334430347321,1770.3079350968073,3133990.185066722,2184.975343548339,11586.14907600536,9401.17373245702,0.21765026930945908,-0.7584141548259713,0.0,14238346335.694016,156039499965.48407,32878398.0509659,6015077.744925591,5065327.030974746,996183.4661071431,262137.8441800868,-632.5334268379578,179.33008984152707,32159.281122570173,-1158.8471847987275,-250.4329612476298,908.4142235510977,0.1113235181321332,-1.0651106760128295,0.0,161232165.81184772,2027830846.3907428,529427.9392308497,801638.0622334344,732858.0577030685,133986.3778672172,14036.478325583617
1,0,1465.601262461671,864.1159661034271,746696.4028748593,48.779015943952686,3154.0889983514926,3105.30998240754,0.10680511152173179,-1.100191271785697,0.0,1082611615.3131347,11893402772.424593,10590168.873607634,10989559.463609653,8643625.80157601,595017.0836736717,139015.29247344632,-108.673808691086,108.44428435434389,11760.162809125795,-324.9110426886997,55.1023280744522,380.0133707631519,-0.46270844433490976,-0.9827361810291935,0.00267379679144385,8815239.654702658,63778766.83330086,203351.67097293845,117547.58895401652,140944.48308544906,36865.431781722604,4849.222363619551
2,0,-691.1313634133064,375.7201348629112,141165.61974140417,-1344.766675899875,74.68912110053634,1419.4557970004114,0.6787118577855231,-0.5150057331412321,0.00267379679144385,231441739.7818675,4498584100.807059,239054437.93634692,31177358.85192882,24645968.973831434,1320217.0245555742,52856.16436994651,131.99231460009693,64.95748805536402,4219.475254462759,28.447782402590633,253.27726790097208,224.82948549838144,0.23958066216517038,-1.0573027807697153,0.0,8093900.941614691,160259435.59488434,1585550.2548102124,533227.9987817982,505553.9449377527,82056.11434373817,7833.175916382764
3,0,-398.2187053941844,353.51863266020376,124975.42363794008,-916.7501472963244,397.3436210239156,1314.09376832024,0.3587247885754906,-0.8470512988087298,0.008021390374331552,106049031.80044636,1186703919.3505073,6386049.275118076,8087606.620482492,6131628.113694296,290728.65914510033,80178.60909104355,61.05136271755533,40.25249895521861,1620.2636721398753,-31.21731095851635,143.35320780861957,174.57051876713592,0.04986702412112242,-0.6985523838866694,0.008021390374331552,1999977.1781170822,20151297.675699305,329364.461000763,133793.4978720089,106382.35645701895,63092.75183197731,6878.566836226262
4,0,303.2574110910129,275.47109293792073,75884.32304441255,-2481.194982361073,723.124810570059,3204.319792931132,-6.797358335319735,57.09624764012643,0.026737967914438502,62775668.279337525,490287549.76304436,9937425.915113758,6721532.560197525,5431463.24067039,300057.22717183694,158496.99922821,-69.83751943014398,48.325711959909775,2335.3744364321665,-163.81006749646792,258.8552529930345,422.66532048950245,1.6418229421450816,10.568770320119162,0.026737967914438502,2697532.430163876,72875136.80184034,2620952.2044232357,97516.0256491798,91083.54719731884,17555.49440802108,22704.404434367923
5,0,27.670602672197823,139.12198445947118,19354.92655994134,-213.5823118936169,401.0816726422222,614.6639845358391,1.0093267623080124,0.5391532295115531,0.029411764705882353,7525100.21575681,59936583.23913693,28606607.02520675,4252866.205629124,4059464.9354485627,265408.50650784577,46608.96787182602,-23.894183269710126,36.805797801889085,1354.6667518335432,-90.45076744964224,52.010732649634235,142.46150009927646,0.370644078638026,-0.9072844640557212,0.00267379679144385,720173.9309890546,9568935.846978776,1098988.1325705592,243833.9224829527,253594.84885685676,120378.2490367095,62186.24469697564
6,0,-40.23423264515562,89.08828273390917,7936.7221204769385,-236.82096589563025,174.62729860787886,411.4482645035091,-0.12280878478167323,-0.1778612970272655,0.03208556149732621,3573762.8332860195,107843494.75300679,45209918.15408301,7068747.686901958,5505472.561980234,278377.20377933845,84024.23303370626,35.29788346622442,16.84066391117242,283.6079609690652,-0.4917413948305693,74.87018900238465,75.36193039721522,0.1390182081879897,-0.4484626284999589,0.0053475935828877,572051.15327342,7546299.702125086,408936.46258126455,320608.9807141937,285711.6983909968,44385.185956728594,13886.122833017487
7,0,58.19165912382538,67.37302364017494,4539.124314419571,-101.16685929360769,224.3537489933218,325.5206082869295,0.11807573922175606,-0.3404796478351093,0.0374331550802139,2964097.1712451447,49327756.286866456,18234708.089318197,19918287.333671335,15328341.004173359,205165.8246956033,44830.794466153595,46.13072509766641,16.36522440811699,267.8205699280281,7.950506355620689,79.17091676191379,71.2204104062931,-0.16681572523114258,-0.7446703957330669,0.0,896053.2736187221,6530942.445646303,322761.79159036657,106488.83944972791,84279.5672485892,22550.188777832052,4983.463653747931
8,0,8.259369311099507,138.5163470579399,19186.778402275657,-1328.4286503753349,427.93555052944384,1756.3642009047787,-5.6057161022855535,47.79865339741978,0.08823529411764706,7201368.348301103,2853125.249466566,5777138.287945251,6877932.790137343,5797772.671103169,522913.23600367055,586814.6490284022,-40.2400722514251,39.745984310654,1579.7432688227543,-117.41541967843042,77.08994340098008,194.5053630794105,1.1042764060958548,0.9003021955847395,0.01871657754010695,1196428.4996748774,13270798.187371757,395463.1742798718,278253.30603050214,213014.31535724166,37692.40152643514,12431.62366080053
9,0,156.34131946902718,145.8393195781782,21269.107135025988,-419.3629415569749,812.159557032337,1231.522498589312,-0.10097120738922478,2.2918234579550276,0.01871657754010695,17096181.52532006,331175837.7356527,10542283.875314606,3606755.7817249685,2721704.2959216232,474628.83205552044,678733.122934737,-184.66349338439898,154.74081228335825,23944.71898611352,-424.61749056169174,76.03294154797561,500.65043210966735,-0.2441949776886661,-1.3693743700089003,0.00267379679144385,21708951.46586626,790567188.5017989,15958556.555482015,1467519.580920333,1190891.2015098294,196337.47966495864,36503.346421858114
