trial_number,label,channel3_std,channel3_var,channel3_skewness,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel4_std,channel4_var,channel4_skewness,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power
0,0,1.0,1.0,0.6834096285689463,0.0,1.0,1.0,1.0,0.4347798885672754,0.3846521447909548,0.1341299671912953,1.0,1.0,0.040766482396772,0.0,1.0,1.0,1.0,0.397628517014712,0.3856553026396256,0.147933933352662
1,0,0.0416618667790491,0.0018408258134656995,0.6937899951508908,0.0148260031400913,0.0028139429119195,0.0077447383852448,0.1499297325674871,0.131110123559497,0.1241311534537543,0.0107473684160743,0.0375572072256857,0.001435856781658,0.0270347381355414,0.0171954635199039,0.0023418336552873,0.0063727414786426,0.0033185767559716,0.0025138903455262,0.0078935049586904,0.0688229419166047
2,0,0.0066051461769814,6.090264252973199e-05,0.4689007641270573,0.1781492537313434,2.158561689673935e-05,4.446644105457045e-05,0.1461716139298048,0.0982628459055388,0.0756444629711585,0.0056799783258953,0.0055183020948471,3.4294717486477085e-05,0.1852525509297286,0.0688735632183903,1.3062051421611314e-05,1.898410948480369e-06,0.0,0.0,0.0,0.0
3,0,0.0007182148256079,2.405338088656512e-06,0.6378161308074557,0.3562985074626869,5.152780992578894e-07,1.4036145184077004e-06,0.0448854896996221,0.3093824269004853,0.2538690387735376,0.0048839396432731,0.0,0.0,0.0630089564700473,0.0,0.0,0.0,0.0002571284372609,0.0080196567014962,0.0075790779725272,0.0089138871340101
4,0,0.0022218563378613,1.0773190027978535e-05,0.5566363000700029,0.6243548612079783,4.578783406451001e-06,8.309504880531355e-06,0.0629779407390553,0.0706910474433408,0.0551429216945031,0.0257391291812558,0.0023481276963582,7.154201175180096e-06,0.0,0.1379310344827578,4.095762591695321e-06,5.848447747983443e-06,0.0113479537502837,0.0432816648514009,0.0371244578440435,0.0821419791044865
5,0,0.001391610239777,5.595210496917493e-06,0.7623119556838167,0.4162365741386522,2.0010688806054193e-06,2.9989814620387783e-06,0.0079577321874465,0.16211800031585,0.1477937006275197,0.1571655117500872,0.0010994494427449,1.9778705599865797e-06,0.0505216182702991,0.1724137931034476,1.5723375974799705e-06,1.7248390524447084e-06,0.0445256848514244,0.0145665231206661,0.0143111321586306,0.2211199603734018
6,0,0.0,0.0,0.675785926191987,0.5782141224635805,1.9637924502700058e-07,0.0,0.006818145088569,0.1145376036949391,0.0917481442485098,0.0,0.0021172910273136,5.962489170195218e-06,0.0585490876211579,0.1719546351990449,1.929810660708144e-06,3.7332427373893264e-06,0.0493624054348603,0.2477250270639159,0.2056056458297776,0.0955880572821454
7,0,0.0066715274517321,6.195640854567657e-05,0.6504977856606798,1.0,2.1763396586806077e-05,6.716667044424737e-06,0.1022846370213404,0.7378954613774036,0.7522494165802783,1.0,0.000888101890678,1.4100970900312984e-06,0.1757522300482033,0.4847000092447066,3.32417773696379e-07,2.1713883109286003e-07,0.0001315956528086,0.0290538580701609,0.0296258106328001,0.2500821535233973
8,0,0.0044663852065244,3.1654850752265265e-05,0.6032319168386924,0.4776119402985075,1.3991831199017544e-05,2.8252489763367845e-05,0.1433268829453222,0.6743413273339345,0.7266970083129125,0.952274302864474,0.0012926848630503,2.5751118056911146e-06,0.077464591301423,0.6058750115558836,8.119368393724583e-07,3.4100501024184455e-06,0.0046052122755715,0.068082245213784,0.0640955267936268,0.319512683331648
9,0,0.0459484641975544,0.0022266727518220997,0.0,0.2375323383084575,0.0011481691624479,0.0005989176083799,0.012754521993565,0.1997468225311558,0.1572579703586949,0.0124024871184825,0.0401786720471528,0.0016413317217,1.0,0.843701149425287,0.0006030407479672,2.2861828400336385e-05,0.0004979900219382,0.0291835593351475,0.0307162775685248,0.0479098234117676
10,1,0.0597316806213908,0.003715737643656999,0.0070033611485983,0.1047584657358366,0.0015872897894525,0.0005482142625066,0.0116055604745758,0.0586963970634461,0.0618311975043466,0.0597198939715557,0.0556013372999513,0.003128280556133,0.8924320446216679,0.2603587319243598,0.001119344505501,6.907586177208697e-05,0.0062545881287061,0.0571304074888288,0.0541017425110072,0.0483286199491492
11,1,0.0007741700101692,2.635939635303644e-06,0.5751696084919116,0.5797580854074094,6.443602603995704e-07,7.29465293957566e-07,0.018548113836085,0.0692882502384368,0.0579722323480097,0.0420989659882184,0.0026969955246444,9.157356713841529e-06,0.173214351027148,1.0,3.038249348188267e-06,1.4048920072206584e-06,0.1307290757244939,0.1495024673859771,0.1235082279826351,0.1100871078341294
12,1,0.0003282526451119,9.71665741284963e-07,0.6299017477169532,0.1633034825870641,0.0,1.6332613102547426e-06,0.0,0.0,0.0,0.0009226166475074,0.008796827632162,8.349027206222513e-05,0.0618265461985059,0.0688735632183903,3.4061051933126736e-05,6.498122521880286e-05,0.128793622682824,0.0974473939964869,0.0791566576815311,0.0235734420509406
13,1,0.0006695559368039,2.209882913825957e-06,0.9205213166593328,0.6549604916593508,6.249726637513553e-07,4.4761770115350683e-07,0.0044655596482281,0.0868787333318197,0.0951763369078655,0.0746970059175338,0.0089973033875345,8.719545596775316e-05,0.0829854727344634,0.0863221464134239,4.157236275110598e-05,6.011584801561634e-05,0.2654816880033264,0.4149100004491789,0.3902941211147526,0.1698125307981454
