trial_number,label,channel3_mean,channel3_std,channel3_var,channel3_min,channel3_max,channel3_range,channel3_skewness,channel3_kurtosis,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel3_gamma_power,channel4_mean,channel4_std,channel4_var,channel4_min,channel4_max,channel4_range,channel4_skewness,channel4_kurtosis,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power,channel4_gamma_power
0,0,62034.14863247978,45609.98028317771,2080270301.4318597,2019.2957043972572,176026.51168037852,174007.21597598126,0.43715297682154336,-1.0605635506540623,0.0,4410808388103.409,29793065391042.8,566588460.3316282,29338578.53243899,25528610.067571186,7252091.521688369,16637111.844022136,-67521.99473999444,49801.74419604566,2480213724.968368,-192031.93849809727,-2201.2457427575496,189830.69275533973,-0.4348909866512425,-1.0657579018153076,0.0,5237338522985.336,35450498794458.15,639332921.7057908,14160019.727412611,12873899.783977676,493273.65387407347,209796.061622126
1,0,-3563.650166124962,1957.810727569857,3833022.8449876127,-6193.941155862337,1929.6032917923649,8123.544447654702,0.6168004045887242,-0.4840341558948187,0.0013315579227696406,12416001638.984074,230778395704.4633,85194092.3816203,11857311.944022803,10484856.03682769,748603.8203441981,143195.00729865438,3573.7861282638996,1887.2031016160856,3561535.546749374,-2117.5738932095105,6029.355079181443,8146.928972390953,-0.6826686530167714,-0.1391649256221763,0.0013315579227696406,12266445610.827955,225935178777.07428,3529647.319230085,233451.75991660732,375516.3348939521,260026.53790538546,25258.32722284396
2,0,48.02157404323515,360.9819478971513,130307.96670762167,-3302.338530956673,546.3373154594392,3848.675846416112,-3.2752366990183184,22.427356952901498,0.016,99460528.7109087,1363992009.7352662,83065871.67378119,9966402.530114373,7684997.792618688,481502.061615386,134382.33820752235,88.40762431783462,292.16862472321066,85362.50527265228,-109.60670301764183,1200.7009491491845,1310.3076521668263,2.1722374452772937,3.5840886850197657,0.005333333333333333,69883809.98263176,85731714.33433329,1412659.9664585593,144844.90409115618,114356.91555456183,57112.221915508235,30052.317647634376
3,0,8.937667380394453,92.83303823341637,8617.972987646946,-238.0162352117952,221.7981677073309,459.8144029191261,-0.35190919464428294,0.0041719814096699,0.032,6523391.164387136,81020090.97634818,25707590.101174954,22119860.340814922,17976554.979019355,439542.92123725853,125377.20812788843,40.746846112063885,17.443815643536443,304.28670420568676,0.1935449742056789,81.757684147735,81.56413917352933,-0.033544426794903555,-0.6505025555597457,0.0,1473444.1292144265,18432134.28560936,1576687.4064567173,427512.98720133567,365113.4062126175,83393.50632791204,13702.79787445152
4,0,81.32530448790422,161.3237013599376,26025.33662047033,-1329.9312971374598,811.1613512344225,2141.092648371882,-1.7568449128033325,16.73651844400031,0.056074766355140186,24446717.186119974,286767463.3926041,35953336.09003326,8379185.049877507,6501138.700750194,1538818.4269880056,3852765.5676898654,-112.06406220537987,134.3437102105785,18048.232473143893,-425.4281653922535,76.61083518419582,502.0390005764493,-1.1704875490429714,0.21589372955798325,0.010680907877169559,22924333.296825245,225762416.3255736,8651749.593045421,1670389.6615219906,1342632.808783183,299295.7589726516,123577.89978718093
5,0,-46.961881643229816,123.50610630645794,15253.75829498209,-672.0132558252653,1055.2135232974674,1727.2267791227328,1.8026731633327004,18.458847263964874,0.037383177570093455,13076923.290218659,128550900.10881583,4795419.4625327,13642333.116297478,11851247.04277256,8466293.380127057,12986988.577594722,88.04466226225222,72.17913695421662,5209.82781145556,-198.3689747873284,260.583979569461,458.9529543567894,-0.2588678423340629,0.17473044099255386,0.01335113484646195,9708306.082882885,79578507.24246979,29816496.501002263,658269.7701868053,587845.8136038885,709051.8842049559,491669.7669559226
6,0,-56.5603660718393,60.11845216198516,3614.2282903528985,-208.4859417446387,132.6573578951011,341.1432996397398,0.305213655481438,-0.12518819639188195,0.05193075898801598,5116790.77870056,39202166.870341085,4150071.85751058,10903286.64688221,8614902.975623298,182110.8220641872,62884.201393425836,18.099488158865068,122.85166814004987,15092.532364792944,-246.28764149813287,256.44907836450875,502.7367198626416,-0.11401897355689701,-0.7727689832268188,0.013315579227696404,11580513.001140784,150777382.63521785,32901938.5615477,8876385.560377542,6916892.8433603505,338939.54170243035,27106.612952721956
7,0,43.31472891207481,364.0056057902109,132500.0810466984,-3828.6594632153183,3289.5738356089387,7118.233298824257,-0.132434607092085,54.49750321879533,0.08981233243967829,100244680.10341902,239312004.02684712,58212698.56622502,46787942.10427368,46755471.330406,52892037.22904688,61476281.06344593,-22.52235236220656,61.657346937453234,3801.6284313654737,-347.2045127695794,545.0697945554784,892.2743073250579,2.0008122211421417,21.453968595586346,0.03753351206434316,3214428.051320477,26129810.153164748,1496607.4997419894,1168903.49828451,1094537.3984720507,794442.6485189724,847686.2843467377
8,0,137.69997170219824,263.5616812032644,69464.75979869117,-2324.615277657648,2141.7572435473185,4466.372521204967,-0.9504396060504513,33.828910283071664,0.04289544235924933,65965827.336086124,880929334.2913084,81454901.93783341,43129340.26756675,45279950.51769022,50376419.24531137,39883091.71594706,-31.37296826737143,81.79922716283194,6691.113564436582,-371.3296260644313,362.74469095079985,734.0743170152311,0.2272952302953556,1.3282737567309173,0.04691689008042895,5725831.01994719,139320048.47593492,4350418.186656355,2544533.377642261,2234980.2187991734,999148.3479923754,777082.8878601626
9,0,-1456.8616313906589,2153.0646477079626,4635687.377209812,-42446.18355148229,5851.3582682006545,48297.54181968294,-11.39025031520518,197.46122059209785,0.021333333333333333,5068599892.671049,17882770158.311954,7511839.134379198,15808500.276656793,12397760.186245615,835845.0053429526,644882.9049451706,376.7106013012873,2017.7108937246624,4071157.2506551757,-9266.48931748384,44831.88128736988,54098.37060485371,16.8736634089012,347.63817117676393,0.06533333333333333,3159801095.840965,828894933.0385523,1730337.8915970018,1173475.066534295,1130615.8849280737,198367.2856495556,53376.53405697606
