C3,C4,Timestamp
-151701.62489433587,-120424.11362220212,1747830149.003654
-151700.44025187974,-120425.4770786139,1747830149.010641
-151702.31779841398,-120425.5217821028,1747830149.016633
-151694.78526053255,-120426.61701758111,1747830149.023657
-151705.13411821536,-120428.44986062645,1747830149.030655
-151694.62879832136,-120432.6743403285,1747830149.036693
-151711.0126270071,-120435.51301187433,1747830149.062711
-151695.23229542165,-120439.37986366509,1747830149.068737
-151715.72884508717,-120442.26323869983,1747830149.075715
-151694.0029494766,-120443.87256430062,1747830149.082758
-151719.52864164457,-120448.14174749158,1747830149.089765
-151696.17106868877,-120450.48868065939,1747830149.095774
-151724.2225079802,-120456.05426502875,1747830149.102781
-151695.94755124423,-120454.19907023896,1747830149.109777
-151719.4168829223,-120455.0260847838,1747830149.116805
-151694.31587389897,-120455.3837126951,1747830149.123808
-151720.40035967831,-120460.65872438655,1747830149.129778
-151696.79691753353,-120459.76465460834,1747830149.136814
-151719.77451083358,-120465.50905293335,1747830149.154824
-151698.69681581223,-120463.31858197672,1747830149.171905
-151716.8687840544,-120469.06298030175,1747830149.177893
-151703.79301354804,-120469.17473902402,1747830149.187895
-151711.68317934076,-120469.51001519086,1747830149.195927
-151708.24101069465,-120473.13099779261,1747830149.204943
-151710.0962054844,-120473.89095710409,1747830149.225935
-151711.28084794056,-120476.684925161,1747830149.232983
-151706.4528711382,-120477.31077400575,1747830149.239998
-151713.1136909859,-120479.25537577337,1747830149.247055
-151706.54227811605,-120484.10570432017,1747830149.254007
-151720.1544904893,-120487.01143109935,1747830149.260036
-151702.76483330308,-120486.05030608778,1747830149.267035
-151721.45089166772,-120488.75486716686,1747830149.27403
-151701.6025425914,-120490.16302706755,1747830149.281069
-151725.04952252502,-120493.9404718805,1747830149.287078
-151701.06610072448,-120494.76748642535,1747830149.294152
-151727.4635109262,-120499.55075973878,1747830149.301147
-151701.91546701378,-120500.8918644061,1747830149.308128
-151724.557784147,-120500.73540219491,1747830149.314155
-151699.72499605716,-120502.36707954016,1747830149.321142
-151722.92610680178,-120503.30585280727,1747830149.327124
-151701.78135654706,-120506.61391098666,1747830149.334146
-151722.79199633503,-120508.04442263179,1747830149.341127
-151705.0447112375,-120511.48659127792,1747830149.347162
-151722.054388768,-120513.47589653444,1747830149.354355
-151706.13994671585,-120514.45937329048,1747830149.360169
-151717.8075573215,-120516.51573378035,1747830149.367134
-151707.4586996387,-120517.49921053639,1747830149.374142
-151718.0534265105,-120523.98121642844,1747830149.380155
-151716.37704567637,-120526.77518448535,1747830149.387135
-151715.57238287598,-120527.19986763,1747830149.394267
-151717.42757766577,-120527.08810890772,1747830149.400274
-151711.1020339849,-120529.12211765315,1747830149.407245
-151719.68510385577,-120530.1502978981,1747830149.413292
-151709.2021357062,-120534.24066713342,1747830149.420269
-151727.03882778154,-120538.55455381329,1747830149.428295
-151706.11759497138,-120537.16874565707,1747830149.437322
-151727.35175220392,-120540.36504511417,1747830149.445298
-151706.47522288267,-120542.89079223762,1747830149.452366
-151731.822101095,-120545.17067017207,1747830149.459322
-151704.08358622596,-120542.68962653753,1747830149.467383
-151731.68799062824,-120546.51177483938,1747830149.47638
-151706.43051939376,-120547.78582427333,1747830149.483388
-151732.78322610655,-120550.64684756362,1747830149.4914
-151706.87755428287,-120550.46803360798,1747830149.499432
-151735.80071160803,-120558.33584765624,1747830149.508421
-151714.94653403122,-120560.88394652415,1747830149.516413
-151733.90081332932,-120561.97918200245,1747830149.52344
-151717.1593567323,-120564.23670819245,1747830149.53348
-151733.78905460704,-120567.74593207192,1747830149.541447
-151720.08743525593,-120567.99180126093,1747830149.547483
-151731.2633074836,-120571.47867339596,1747830149.555486
-151722.0096852791,-120569.86934779517,1747830149.564504
-151723.4625486687,-120570.31638268428,1747830149.571522
-151724.0213422801,-120571.72454258497,1747830149.579523
-151719.3051242,-120572.14922572962,1747830149.587566
-151724.44602542472,-120572.14922572962,1747830149.59554
-151718.813385822,-120578.58652813274,1747830149.607582
-151732.49265342864,-120581.98399328995,1747830149.614573
-151718.2545922106,-120585.47086542498,1747830149.620624
-151735.0184005521,-120586.0073072919,1747830149.627619
-151715.39356892032,-120588.9130340711,1747830149.635629
-151739.77932212106,-120593.40573470661,1747830149.644649
-151713.4042636638,-120592.17638876158,1747830149.651676
