run_number,trial_number_overall,condition,event_type,software_timestamp_s
1,1,RIGHT,FIXATION_START,1747829846.232042
1,1,RIGHT,FIXATION_END,1747829848.736921
1,1,RIGHT,CUE_RIGHT_START,1747829848.737068
1,1,RIGHT,CUE_RIGHT_END,1747829850.242073
1,1,RIGHT,IMAGERY_START,1747829850.242213
1,1,RIGHT,IMAGERY_END,1747829854.245591
1,1,RIGHT,ITI_START,1747829854.245749
1,1,RIGHT,ITI_END,1747829857.2506502
1,2,LEFT,FIXATION_START,1747829857.250834
1,2,LEFT,FIXATION_END,1747829859.7557702
1,2,LEFT,CUE_LEFT_START,1747829859.755916
1,2,LEFT,CUE_LEFT_END,1747829861.260962
1,2,LEFT,IMAGERY_START,1747829861.26112
1,2,LEFT,IMAGERY_END,1747829865.265984
1,2,LEFT,ITI_START,1747829865.266162
1,2,LEFT,ITI_END,1747829868.271093
1,3,RIGHT,FIXATION_START,1747829868.2712479
1,3,RIGHT,FIXATION_END,1747829870.776191
1,3,RIGHT,CUE_RIGHT_START,1747829870.776324
1,3,RIGHT,CUE_RIGHT_END,1747829872.2803562
1,3,RIGHT,IMAGERY_START,1747829872.280488
1,3,RIGHT,IMAGERY_END,1747829876.28396
1,3,RIGHT,ITI_START,1747829876.284105
1,3,RIGHT,ITI_END,1747829879.285676
1,4,LEFT,FIXATION_START,1747829879.2859719
1,4,LEFT,FIXATION_END,1747829881.790946
1,4,LEFT,CUE_LEFT_START,1747829881.79108
1,4,LEFT,CUE_LEFT_END,1747829883.2961018
1,4,LEFT,IMAGERY_START,1747829883.296244
1,4,LEFT,IMAGERY_END,1747829887.301147
1,4,LEFT,ITI_START,1747829887.3013089
1,4,LEFT,ITI_END,1747829890.306241
1,5,RIGHT,FIXATION_START,1747829890.306397
1,5,RIGHT,FIXATION_END,1747829892.81135
1,5,RIGHT,CUE_RIGHT_START,1747829892.811497
1,5,RIGHT,CUE_RIGHT_END,1747829894.316517
1,5,RIGHT,IMAGERY_START,1747829894.316661
1,5,RIGHT,IMAGERY_END,1747829898.3193889
1,5,RIGHT,ITI_START,1747829898.319537
1,5,RIGHT,ITI_END,1747829901.324472
1,6,LEFT,FIXATION_START,1747829901.3246431
1,6,LEFT,FIXATION_END,1747829903.826825
1,6,LEFT,CUE_LEFT_START,1747829903.826964
1,6,LEFT,CUE_LEFT_END,1747829905.331991
1,6,LEFT,IMAGERY_START,1747829905.3321202
1,6,LEFT,IMAGERY_END,1747829909.337016
1,6,LEFT,ITI_START,1747829909.337161
1,6,LEFT,ITI_END,1747829912.34212
1,7,RIGHT,FIXATION_START,1747829912.342283
1,7,RIGHT,FIXATION_END,1747829914.8472419
1,7,RIGHT,CUE_RIGHT_START,1747829914.847371
1,7,RIGHT,CUE_RIGHT_END,1747829916.350411
1,7,RIGHT,IMAGERY_START,1747829916.35056
1,7,RIGHT,IMAGERY_END,1747829920.3554718
1,7,RIGHT,ITI_START,1747829920.355619
1,7,RIGHT,ITI_END,1747829923.3605561
1,8,LEFT,FIXATION_START,1747829923.360735
1,8,LEFT,FIXATION_END,1747829925.8657331
1,8,LEFT,CUE_LEFT_START,1747829925.865869
1,8,LEFT,CUE_LEFT_END,1747829927.37041
1,8,LEFT,IMAGERY_START,1747829927.3705359
1,8,LEFT,IMAGERY_END,1747829931.375468
1,8,LEFT,ITI_START,1747829931.3756428
1,8,LEFT,ITI_END,1747829934.380606
