epoch_index,label,C3_mean,C3_std,C3_var,C3_min,C3_max,C3_range,C3_skewness,C3_kurtosis,C3_zero_crossing_rate,C3_signal_energy,C3_delta_power,C3_theta_power,C3_alpha_power,C3_mu_power,C3_beta_power,C3_gamma_power,C4_mean,C4_std,C4_var,C4_min,C4_max,C4_range,C4_skewness,C4_kurtosis,C4_zero_crossing_rate,C4_signal_energy,C4_delta_power,C4_theta_power,C4_alpha_power,C4_mu_power,C4_beta_power,C4_gamma_power
0,2,1.1215551136736153e-06,3.7660557642841756e-05,1.4183176019698067e-09,-0.0002771010040305555,0.00038226053584367037,0.0006593615398742259,3.2194047329337274,46.48265228489576,0.18562874251497005,7.112073194092497e-07,4.79260813821311e-13,1.0244311027984298e-11,2.7899845591348402e-11,2.527151833514858e-11,1.7368833680595337e-12,8.992886212279862e-14,-1.6927826937922577e-10,1.4014885450682132e-06,1.9641701419574168e-12,-5.998910637572408e-06,6.31853026789031e-06,1.2317440905462718e-05,-0.11369215644898623,1.705165039579831,0.281437125748503,9.84049255476887e-10,4.934827470587281e-17,4.2916153338033815e-14,1.1671413214422195e-13,1.1256516772979881e-13,4.9879232991928316e-14,8.19956336996621e-15
1,1,9.18582492882855e-06,0.00013353805659681168,1.7832412559653276e-08,-0.000385247083613649,0.0016038882313296199,0.001989135314943269,8.440841076163778,89.95812776205572,0.17365269461077845,8.976312761577457e-06,4.964273012403253e-12,7.96066946917194e-12,7.638275781071806e-12,6.3876758402351936e-12,4.0380476060577995e-13,6.859881471181626e-14,1.5596653217766593e-07,2.5223549004077456e-06,6.362274243610969e-12,-7.820177415851504e-06,2.3361923012998886e-05,3.118210042885039e-05,5.159470293185941,44.465928433537215,0.2654690618762475,3.1996865011880173e-09,1.4100385295820337e-15,1.7594917991398824e-14,1.1005051893792476e-13,1.0516589452652887e-13,4.3181674343962035e-14,8.691673492861327e-15
2,2,9.846061444654623e-06,0.00013994058399481344,1.958336704880944e-08,-0.00035107755684293807,0.0014567236648872495,0.0018078012217301875,7.981463027456224,78.372172200959,0.18962075848303392,9.859836299365459e-06,5.513158370875455e-12,6.297529757582496e-12,2.093122863340744e-12,1.9202501147484066e-12,3.3917565150731173e-13,3.1038443015703995e-14,1.8197106923984097e-07,2.940657862175298e-06,8.647468662373394e-12,-8.62583692651242e-06,3.108676173724234e-05,3.971259866375476e-05,5.8801271812096925,54.44119312207104,0.27345309381237526,4.348971648339256e-09,1.8816368451849714e-15,3.47808791784178e-14,1.0749978150893321e-13,9.982892204027392e-14,5.467060569874898e-14,2.3053096531987793e-15
3,1,6.43465474587234e-08,2.4067396436018924e-06,5.792395712084964e-12,-9.334764399682172e-06,2.8158041459391825e-05,3.7492805859073997e-05,5.008522394343301,53.881916757127485,0.24151696606786427,2.9040646313176658e-09,1.14100424406518e-15,4.8440910635790607e-14,2.0248115675976366e-13,1.8369984105395666e-13,5.142507160624594e-14,5.00603313864213e-15,1.641068749244041e-08,1.473962266469184e-06,2.1725647629749734e-12,-3.7089948818902485e-06,7.224785349535523e-06,1.0933780231425771e-05,0.4695146930655332,1.0103590004282337,0.24550898203592814,1.088589870893113e-09,2.0657145084544208e-16,4.4654786954010495e-14,1.824872698782036e-13,1.6618429865878542e-13,5.220794962330773e-14,5.1131130784839066e-15
4,1,7.470617675436077e-07,1.0963511733344054e-05,1.2019858952717274e-10,-3.266127168899402e-05,0.00011670157255139202,0.00014936284424038604,7.869116472321633,77.80995929954894,0.20958083832335328,6.049910209666074e-08,3.2990645273602885e-14,1.3563084620413606e-13,1.7332975492544778e-13,1.7086318885697128e-13,4.592019384348374e-14,4.5762851821986935e-15,1.7857827405421433e-07,2.8948199335259164e-06,8.379982447538991e-12,-6.740353910572594e-06,2.886737092921976e-05,3.5607724839792354e-05,5.27824601896201,45.770066501827316,0.22954091816367264,4.214348196399088e-09,1.7230436018500114e-15,1.1754753884906971e-13,1.693180181373769e-13,1.6708797656717472e-13,4.306711752429487e-14,4.373243625123033e-15
5,2,-5.971569869399111e-07,8.70122183885296e-06,7.57112614889317e-11,-9.447633783565834e-05,2.2665088181383908e-05,0.00011714142601704225,-7.840223094289234,77.00326401322653,0.249500998003992,3.8109996835947404e-08,2.043513830561856e-14,6.237003767190804e-14,1.468247508074246e-13,1.2520161965201538e-13,4.7929606993292094e-14,3.589698947935664e-15,-1.8026409025187524e-07,2.8721107529194158e-06,8.249020177035332e-12,-2.8567332265083678e-05,7.576955340482527e-06,3.6144287605566205e-05,-5.953188866044022,53.04088841255955,0.2654690618762475,4.149039174954103e-09,1.7632843479669681e-15,3.8201738564160484e-14,1.501334701567101e-13,1.2853220302965576e-13,4.7699746804221387e-14,3.88897610832673e-15
6,1,-9.699591158872093e-09,1.650339021314067e-06,2.7236188852718725e-12,-1.21005650726147e-05,8.873717888491228e-06,2.0974282961105928e-05,-0.4861372305050225,7.922804470444417,0.25349301397205587,1.3645801966376013e-09,1.931224024423826e-16,7.200532380668111e-14,1.9557887672855996e-13,1.7176379740590855e-13,4.5483224003762026e-14,8.298164496535743e-15,5.5589728943348286e-09,1.301355689417863e-06,1.6935266303802412e-12,-4.119293407711666e-06,3.920149993064115e-06,8.039443400775781e-06,0.03549744638159831,0.16331574790241943,0.249500998003992,8.484723238125003e-10,1.355250661566212e-17,6.405613797921452e-14,1.7138812703982794e-13,1.513041905006283e-13,4.582648492087201e-14,8.302101837665955e-15
7,2,1.9636204498291632e-08,7.3336772905787846e-06,5.378282260235098e-11,-6.163274520076811e-05,6.699863297399133e-05,0.00012863137817475945,-0.21358804560305447,47.426500623663394,0.2554890219560878,2.6945387299621912e-08,1.0097003601808291e-14,9.124059116016788e-14,2.050360584162521e-13,2.070106504142021e-13,8.824383505787933e-14,1.526885813651723e-14,1.080339249108899e-08,2.3046805301908306e-06,5.311552346240689e-12,-1.8228907720185816e-05,2.008537012443412e-05,3.831427784461994e-05,0.6162084747315998,31.376892729784288,0.23353293413173654,2.6611461988245326e-09,5.715994195662961e-16,9.712924636389262e-14,1.7814835924955745e-13,1.6917958582857765e-13,4.4049879159185904e-14,2.831835733268546e-15
8,1,1.935350197724039e-07,4.295076712346156e-05,1.8447683964938268e-09,-0.0003358579706400633,0.0005441055400297046,0.0008799635106697679,5.778357789363764,110.14220020610634,0.2435129740518962,9.242477320011504e-07,2.7707301098310146e-14,2.0434330020632815e-11,9.065872699368761e-11,9.082972963570715e-11,1.1386798049780597e-10,3.287358002082529e-11,-5.1750681489051034e-09,2.6986626590412876e-06,7.282780147303794e-12,-2.172347558371257e-05,1.4659069165645633e-05,3.63825447493582e-05,-1.944825255156175,23.91369387187937,0.281437125748503,3.6486862712457045e-09,1.807842698577465e-15,5.520800879277901e-14,2.000518365960987e-13,1.7844899488498446e-13,2.3952173024702075e-13,5.615788064440477e-14
9,2,-6.288657797653231e-08,2.1661032246410165e-06,4.69200317980021e-12,-2.4370654500671662e-05,9.114546628552489e-06,3.348520112922415e-05,-4.164620106289512,42.911822026738776,0.27345309381237526,2.352674908646394e-09,9.418679329378058e-16,4.293057541717237e-14,1.4427152620767925e-13,1.3205658622878414e-13,4.385415622742752e-14,6.63256017036579e-15,3.336381586806555e-08,1.3795252593129974e-06,1.903089941082593e-12,-4.9403515731683e-06,7.08457855580491e-06,1.202493012897321e-05,0.26891548391019665,1.4551362117160114,0.26147704590818366,9.540057457312273e-10,1.3354807611091307e-16,4.083156784679946e-14,1.4706258360312756e-13,1.3382728577557992e-13,4.4130730385430514e-14,6.732191544822936e-15
